Brands,Models,Version,Currency,Price,Urlpic,Year,KM,Fuel_type,Transmission,Location,Color,Cilinders,Upholstery,Engine
Jeep,Compass,Sport,USD,"u$s12,300",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jeep/compass/pe/RT_PU_c38324eb97064e0ab762baa452a1d8bf.webp,2013,99000 km,gasolina,manual 5 velocidades,Lima |Lima,Plata,4 en línea,cuero,1998 cc
Geely,Okavango,Exclusive 1.5 DCT,USD,"u$s22,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/geely/okavango/pe/RT_PU_400fbb2a54624ac788f1fa41b2545fdb.webp,2023,24137 km,,automática 7 velocidades,Lima |Lima,Gris,,símil cuero,
Jeep,Patriot,2.4L Limited,USD,"u$s7,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jeep/patriot/pe/RT_PU_c7c04e729fdd4d3583ebff0eca7ac410.webp,2008,113188 km,gasolina,automática CVT,Lima |Lima,Azul,4 en línea,cuero,2359 cc
Mazda,3 Sedán,2.0 Mec Sport,PEN,"$12,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mazda/3-sedan/pe/RT_PU_384bc6a0771d4caeb70559b96cc4d6a0.webp,2017,118000 km,gasolina,manual 5 velocidades,Trujillo |La Libertad,Gris,4 en línea,tela,1999 cc
Honda,Civic,1.5L EXT,USD,"u$s4,300",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/honda/civic/pe/RT_PU_9a5c0e04f483464aa9bbc43c85a75a62.webp,1993,60000 km,gasolina,automática CVT,Lima |Lima,Verde,4 en línea,tela,1498 cc
Chevrolet,Prisma,1.4L LTZ,USD,"u$s7,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/chevrolet/prisma/pe/RT_PU_fea6b1bd4a07461f80d5f9e0a3124766.webp,2019,172000 km,gasolina,manual 5 velocidades,Lima |Lima,Gris Oscuro,4 en línea,tela y cuero,1389 cc
Nissan,Kicks,Advance Cuero,USD,"u$s8,700",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/nissan/kicks/pe/RT_PU_5fa988a8b8aa41e4ac84d1679e2aa665.webp,2008,70000 km,gasolina,manual 5 velocidades,Lima |Lima,Plata,4 en línea,cuero,1598 cc
KIA,Rio Hatchback,1.4L LX,USD,"u$s11,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/rio-hatchback/pe/RT_PU_080cea50567b42689f10a812e89fa413.webp,2017,56300 km,gasolina,manual 6 velocidades,Lima |Lima,Plata,4 en línea,tela,1368 cc
Jeep,Grand Cherokee,3.6L Laredo 4x4,USD,"u$s36,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jeep/grand-cherokee/pe/RT_PU_a89ad5f49259498f8f3014b118aa087a.webp,2020,15000 km,gasolina,automática 8 velocidades,Lima |Lima,Marrón,6 en V,tela,3604 cc
Nissan,Sentra,2.0L,USD,"u$s2,700",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/nissan/sentra/pe/RT_PU_6d6f2849dcc14382ba779d0dbc66871c.webp,1991,190000 km,gasolina,manual 6 velocidades,Lima |Lima,Rojo,4 en línea,tela,1997 cc
Volkswagen,Crossfox,1.6L Highline,PEN,"$37,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/crossfox/pe/RT_PU_bc6257f6fef740488210914d037b19eb.webp,2018,42000 km,gasolina,manual 5 velocidades,Chiclayo |Lambayeque,Gris Platino,4 en línea,tela,1598 cc
Toyota,Corolla Cross,2.0L CVT,USD,"u$s22,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/corolla-cross/pe/RT_PU_4323b8e855744829a3c1f80fb8c0d975.webp,2023,14500 km,diesel,automática 10 velocidades,Lima |Lima,Blanco,4 en línea,tela,1987 cc
Toyota,Corolla,2.0L XEi CVT,USD,"u$s13,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/corolla/pe/RT_PU_c89d654eb8b5409ea15e191398cbe26f.webp,2007,158000 km,gasolina,CVT Secuencial de 7 velocidades,Huaura |Lima,Negro,4 en línea,tela,1987 cc
Foton,Tunland,2.8L Full 4x4,USD,"u$s9,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/foton/tunland/pe/RT_PU_20641f8596ba4d0cae1ad1b477974f73.webp,2017,191107 km,diesel,manual 5 velocidades,Lima |Lima,Blanco,4 en línea,tela,2776 cc
Jeep,Grand Cherokee,3.6L Limited Full 4x4,USD,"u$s12,300",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jeep/grand-cherokee/pe/RT_PU_8ad659b9e6bb44ff9a7c742af93084da.webp,2012,97000 km,gasolina,automática 8 velocidades,Lima |Lima,Negro,6 en V,cuero,3604 cc
Volkswagen,Crossfox,1.6L Highline,USD,"u$s8,400",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/crossfox/pe/RT_PU_4c3074beb31340cd91fa0557f93a6b2c.webp,2015,125000 km,gasolina,manual 5 velocidades,Lima |Lima,Naranja,4 en línea,tela,1598 cc
Volkswagen,Gol,1.6L Highline,USD,"u$s13,200",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/gol/pe/RT_PU_e68eaff964c44881a754292a8c0d73d1.webp,2022,14500 km,gasolina,manual 5 velocidades,Arequipa |Arequipa,Gris,4 en línea,tela,1596 cc
Mercedes Benz,Clase C,180,USD,"u$s11,900",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mercedes-benz/clase-c/pe/RT_PU_c9c12ae00e484058b3665be56e100c2b.webp,2012,113600 km,gasolina,automática 9 velocidades,Lima |Lima,Blanco,4 en línea,símil cuero,1496 cc
Jeep,Grand Cherokee,"Limited (Vw1) V8,4.7i,16v A 1 2",USD,"u$s9,900",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jeep/grand-cherokee/pe/RT_PU_897e8d62a606485da0b9aa3c24ea7c32.webp,2009,145000 km,gasolina,N/D,Lima |Lima,Verde,N/D,,
Volkswagen,Golf,1.6L Comfortline,USD,"u$s1,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/golf/pe/RT_PU_bdde10e8a3f6499faca2715723a0e2f0.webp,1998,184000 km,gasolina,manual 5 velocidades,Trujillo |La Libertad,Negro,4 en línea,tela,1595 cc
BMW,Serie 3,318i Automatico,USD,"u$s12,800",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/bmw/serie-3/pe/RT_PU_2878e0d293634c35bc989f2faf5f96ba.webp,2015,87000 km,gasolina,automática 4 velocidades,Lima |Lima,Negro,4 en línea,gamuza,1900 cc
Audi,A4,2.0 T FSI,USD,"u$s23,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/audi/a4/pe/RT_PU_7f60c1d6dcdd4b31ac6d467f8be6cae9.webp,2017,33096 km,gasolina,manual 6 velocidades,Lima |Lima,Plata,4 en línea,cuero y símil cuero,1984 cc
Chevrolet,N300 Max,1.2 Cargo Base,USD,"u$s8,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/chevrolet/n300-max/pe/RT_PU_3904d44d78b74d6bae7bd8dab4599571.webp,2017,79771 km,gasolina,manual 5 velocidades,Lima |Lima,Blanco,4 en línea,tela,1200 cc
Fiat,Uno Way,1.4L Plus,USD,"u$s9,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/fiat/uno-way/pe/RT_PU_fbea39ac86964628a454c0401af12ddb.webp,2019,93600 km,gasolina,manual 5 velocidades,Cañete |Lima,Marrón,4 en línea,tela,1368 cc
Toyota,Avanza,1.5L Aut,USD,"u$s10,800",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/avanza/pe/RT_PU_75965f15515c4438bebf4f57dbd429f9.webp,2013,167000 km,gasolina,automática 4 velocidades,Lima |Lima,Azul Neptuno,4 en línea,tela,1495 cc
Chery,Tiggo 2 PRO,1.5L Full,USD,"u$s8,800",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/chery/tiggo-2-pro/pe/RT_PU_6496777310734a5b80784d6ff7b25f49.webp,2022,82000 km,gasolina,manual 5 velocidades,Lima |Lima,Rojo,4 en línea,símil cuero y tela,1497 cc
Haval,H2,Supreme AT 4x2,USD,"u$s13,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/haval/h2/pe/RT_PU_27959d92b9cb450db531d0c020cbef67.webp,2021,150000 km,gasolina,automática 6 velocidades,Lima |Lima,Negro,4 en línea,tela,1500 cc
KIA,Soluto,1.4L LX Plus,USD,"u$s8,300",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/soluto/pe/RT_PU_f8e2f1b532b34f70b39927d559a6901f.webp,2020,100000 km,gasolina,manual 5 velocidades,Lima |Lima,Negro,4 en línea,tela,1368 cc
Suzuki,APV,Minivan,PEN,"$12,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/suzuki/apv/pe/RT_PU_6333eaadba9c4dfdb3757f17702cf79d.webp,2015,200000 km,gasolina,manual 5 velocidades,Lima |Lima,Gris,4 en línea,tela,1590 cc
Hyundai,Tucson,GL 2.0L 4x2,USD,"u$s8,800",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/tucson/pe/RT_PU_5f9e5aee00d34d49abc98873d285572d.webp,2010,121000 km,gasolina,manual 5 velocidades,Lima |Lima,Gris,4 en línea,tela,1975 cc
Jetour,X70,Limited,USD,"u$s14,900",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jetour/x70/pe/RT_PU_308e19a10d0d4994bcdecc63ae510b11.webp,2022,34300 km,gasolina,automática 8 velocidades,Lima |Lima,Blanco,4 en línea,cuero,1498 cc
KIA,Sonet,1.5L LX Full,USD,"u$s16,100",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/sonet/pe/RT_PU_74ce0ff2ddd64bd6acfc5230dcd7ba3a.webp,2021,20000 km,gasolina,manual 6 velocidades,Lima |Lima,Blanco,4 en línea,tela,1497 cc
KIA,Rio Cross,1.4L Full,USD,"u$s10,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/rio-cross/pe/RT_PU_16d687e4f52b4aab993d74868aeebe35.webp,2019,88000 km,gasolina,manual 6 velocidades,Lima |Lima,Negro,4 en línea,tela,1368 cc
Toyota,Corolla,1.8 Full,USD,"u$s14,800",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/corolla/pe/RT_PU_ec8a97fde65f49b4b31896ed889fb823.webp,2016,66000 km,gasolina,manual 6 velocidades,Lima |Lima,Blanco,4 en línea,tela,1798 cc
JAC,Refine,2.0L Luxury,USD,"u$s15,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jac/refine/pe/RT_PU_cd49cd02ac284474a9434740377e8fc7.webp,2022,52000 km,gasolina,manual 5 velocidades,Lima |Lima,Plata,4 en línea,tela,1998 cc
Daewoo,Damas Van,"Van Std A-A L3,0.8,6v S 2 3",USD,"u$s4,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/daewoo/damas-van/pe/RT_PU_d723173e50ae4391875fe6231fca0f24.webp,2000,315500 km,gasolina,N/D,Lima |Lima,Blanco,N/D,,
Toyota,Rav4,2.0 4x2,USD,"u$s28,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/rav4/pe/RT_PU_2bdb14f9a56c41dbbae9b7094076cb53.webp,2020,57000 km,gasolina,manual 6 velocidades,Lima |Lima,Negro,4 en línea,tela,1987 cc
KIA,Rio,1.4L LX Full,PEN,"$10,300",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/rio/pe/RT_PU_144bfc2934a3424aba99722dbf15de78.webp,2018,72500 km,gasolina,manual 6 velocidades,Lima |Lima,Azul,4 en línea,tela,1368 cc
Chevrolet,Prisma,1.4L LTZ,USD,"u$s9,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/chevrolet/prisma/pe/RT_PU_6d188f3e9d154d32966070995413ebfc.webp,2018,87000 km,gasolina,manual 5 velocidades,Lima |Lima,Negro,4 en línea,símil cuero y tela,1389 cc
Volkswagen,Polo,1.4L Comfort,USD,"u$s9,300",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/polo/pe/RT_PU_dd74b046db6d4e85ba227bc4b63ad947.webp,2012,115000 km,gasolina,manual 5 velocidades,Arequipa |Arequipa,Azul,4 en línea,tela,1390 cc
JAC,Refine,2.0L Comfort,PEN,"$17,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jac/refine/pe/RT_PU_c281f2e45140405bb24fc22c888e2084.webp,2023,54100 km,gasolina,manual 5 velocidades,Lima |Lima,Negro,4 en línea,tela,1997 cc
Toyota,Hilux,2.8L Tdi 4x4 CD SRV,PEN,"$24,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/hilux/pe/RT_PU_df9094417c784807a8495cc6b55c7799.webp,2017,144000 km,gasolina,manual 6 velocidades,Lima |Lima,Rojo,4 en línea,tela,2755 cc
Toyota,Yaris Sedán,1.3L GLi CVT,USD,"u$s18,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/yaris-sedan/pe/RT_PU_14bcd90e49844148a05d5c50b4d45217.webp,2023,34822 km,gasolina,automática CVT - 7 velocidades,Lima |Lima,Gris Oscuro,4 en línea,tela,1329 cc
Ford,Ecosport,1.5L Titanium,USD,"u$s15,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/ford/ecosport/pe/RT_PU_427c969cd26147dab0d5d0a801a999d9.webp,2019,39000 km,gasolina,manual 5 velocidades,Lima |Lima,Plata,3 en línea,símil cuero,1500 cc
Mercedes Benz,Clase C,200 Automatico,PEN,"$11,800",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mercedes-benz/clase-c/pe/RT_PU_d790e3c680ef406ab0ba567b485e1dcc.webp,2009,94500 km,gasolina,automática 5 velocidades,Lima |Lima,Plata,4 en línea,gamuza,2000 cc
Toyota,Rav4,2.5 4x2,USD,"u$s14,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/rav4/pe/RT_PU_963938258872458daa8407b47c03dd93.webp,2013,215242 km,gasolina,manual 6 velocidades,Talara |Piura,Gris,4 en línea,tela,2494 cc
Suzuki,Celerio,1.0L GTS AT Sport,USD,"u$s8,200",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/suzuki/celerio/pe/RT_PU_ed86c48775aa41f9b1153011e1c1c1eb.webp,2019,73000 km,gasolina,automática 4 velocidades,Lima |Lima,Gris,3 en línea,tela,998 cc
Renault,Duster,2.0L Dynamique 4x2,USD,"u$s10,998",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/renault/duster/pe/RT_PU_5836a410d88a4d13a51694b3fe11ee14.webp,2020,77000 km,gasolina,manual 6 velocidades,Lima |Lima,Plata,4 en línea,tela,1998 cc
Nissan,Juke,1.6L 4x4 Turbo Sport Aut,USD,"u$s10,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/nissan/juke/pe/RT_PU_1b16923d82354e10b01c30e4deb60326.webp,2013,162000 km,gasolina,automática CVT con modo manual (6 vel),Lima |Lima,Rojo,4 en línea,cuero,1598 cc
Mercedes Benz,Clase A,A 180,USD,"u$s17,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mercedes-benz/clase-a/pe/RT_PU_78d0234bb1424908b70c9958019722f1.webp,2016,52000 km,gasolina,manual 6 velocidades,Lima |Lima,Plata,4 en línea,tela y vinilo,1595 cc
Chery,Tiggo 7 PRO,1.5L Aut Full,USD,"u$s15,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/chery/tiggo-7-pro/pe/RT_PU_7f9b591635cc46749c6aa9ce635296a6.webp,2021,22500 km,gasolina,automática CVT - 9 velocidades,Lima |Lima,Plata,4 en línea,símil cuero,1498 cc
Subaru,Impreza Sedán,2.0i Limited AWD Aut,USD,"u$s18,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/subaru/impreza-sedan/pe/RT_PU_1045b22e3fef42259e5c2023b62f3c95.webp,2018,29500 km,gasolina,automática CVT,Lima |Lima,Azul Perla,4 Bóxer,cuero,1995 cc
Toyota,Hilux,3.0L TDi 4x4 CD,USD,"u$s19,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/hilux/pe/RT_PU_d89fa01bad5b4f98a82eb5e22773a9c3.webp,2011,140000 km,diesel,manual 5 velocidades,Arequipa |Arequipa,Plata,4 en línea,tela,2982 cc
Toyota,Hilux,2.8L Tdi 4x4 CD SR,USD,"u$s24,990",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/hilux/pe/RT_PU_d8317d2b484348fb9b706e19a145a507.webp,2019,135010 km,gasolina,manual 6 velocidades,Lima |Lima,Blanco,4 en línea,tela,2755 cc
Jaguar,F-Type,5.0L R,USD,"u$s60,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jaguar/f-type/pe/RT_PU_767be85a4f6847d282ad3e96e4a8cd3e.webp,2015,40000 km,gasolina,automática 8 velocidades,Lima |Lima,Rojo,8 en V,cuero,4999 cc
Jeep,Compass,Sport Aut,USD,"u$s22,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jeep/compass/pe/RT_PU_1d6e34abcf094fb5a2f53ad1e680a042.webp,2020,47300 km,gasolina,automática 6 velocidades,Lima |Lima,Negro,4 en línea,tela,2360 cc
Mazda,3 Sedán,1.6L Core AT,USD,"u$s13,800",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mazda/3-sedan/pe/RT_PU_ecd0fc4157584ed2a88cd17dc89c3229.webp,2018,74800 km,gasolina,automática 4 velocidades,Lima |Lima,Negro,4 en línea,tela,1600 cc
Nissan,X-Trail,Sense,USD,"u$s13,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/nissan/x-trail/pe/RT_PU_60da28ff90f646f9837ffa1913eb7653.webp,2015,74000 km,gasolina,automática CVT,Lima |Lima,Negro,4 en línea,tela,2498 cc
Volkswagen,Gol,Estilo 1.8,USD,"u$s5,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/gol/pe/RT_PU_635784376b034295ab212973ebff03f4.webp,2002,126000 km,gasolina,manual 5 velocidades,Arequipa |Arequipa,Plata,4 en línea,gamuza,1800 cc
Great Wall,H3,2.0L City 4x4,USD,"u$s8,900",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/great-wall/h3/pe/RT_PU_8c295fa045374eae823e99872ab0e20d.webp,2013,98000 km,gasolina,manual 5 velocidades,Lima |Lima,Plata,4 en línea,tela,1998 cc
Peugeot,207,Premium Tiptronic 1.6L 5P,USD,"u$s10,300",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/peugeot/207/pe/RT_PU_a7eeffabb37a4427af1990c58563d201.webp,2010,60000 km,gasolina,Tiptronic,Lima |Lima,Gris Thorium,4 en línea,tela,1587 cc
Subaru,Forester,2.0i AWD SI Drive XS Aut,USD,"u$s29,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/subaru/forester/pe/RT_PU_8ed702c186d64ee094a2ef444abf1209.webp,2020,6900 km,gasolina,Lineartronic CVT con modo manual 6 velocidades,Lima |Lima,Gris Metálico,4 en línea,tela,1995 cc
Honda,HR-V,1.8L EX Aut,USD,"u$s17,700",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/honda/hr-v/pe/RT_PU_91d63cb389424bf897d9be7e9417baa4.webp,2019,62000 km,gasolina,automática CVT,Lima |Lima,Plata,4 en línea,tela,1799 cc
Suzuki,Grand Nomade,2.0L 4x4,USD,"u$s9,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/suzuki/grand-nomade/pe/RT_PU_dcdf65dfa2fb448586da937eb4d3762b.webp,2010,177233 km,gasolina,manual 5 velocidades,Lima |Lima,Gris Oscuro,4 en línea,tela,1995 cc
Ford,Fusion,2.0L SE Ecoboost Aut,USD,"u$s17,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/ford/fusion/pe/RT_PU_ee123aecd22247e695b160c2753982ef.webp,2018,38000 km,gasolina,automática 6 velocidades,Lima |Lima,Rojo Metalizado,4 en línea,cuero,1998 cc
Volkswagen,Gol,1.6L Power,USD,"u$s7,900",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/gol/pe/RT_PU_d7acbe7887bb40c38ae64de6da18726a.webp,2017,94200 km,gasolina,manual 5 velocidades,Trujillo |La Libertad,Azul,4 en línea,tela,1598 cc
Toyota,Rush,1.5L Full,USD,"u$s18,100",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/rush/pe/RT_PU_891c5fffd8e54e12ae32f097b6e33231.webp,2022,27000 km,gasolina,manual 5 velocidades,Lima |Lima,Plata,4 en línea,tela,1496 cc
Changan,CS35 Plus,1.4L Luxury,USD,"u$s15,800",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/changan/cs35-plus/pe/RT_PU_ef14ef22f6f54e73ab58bf08eaa936b9.webp,2022,18700 km,gasolina,automática 7 velocidades,Lima |Lima,Rojo,4 en línea,símil cuero,1392 cc
Suzuki,Grand Vitara,1.6L Full,USD,"u$s9,300",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/suzuki/grand-vitara/pe/RT_PU_4cdce0e43f16444abf58fb8e9f21e4be.webp,2011,78000 km,gasolina,manual 5 velocidades,Lima |Lima,Azul,4 en línea,tela,1586 cc
DFSK,500,MT Full,PEN,"$11,900",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/dfsk/500/pe/RT_PU_ce3234638844445cad899a8162767114.webp,2023,11900 km,gasolina,manual 5 velocidades,Lima |Lima,Azul,4 en línea,símil cuero,1498 cc
Honda,Civic,1.5L EXT,USD,"u$s2,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/honda/civic/pe/RT_PU_ad087c1ea8df4357a1c33a3fc3084c4d.webp,1987,23000 km,gasolina,automática CVT,Lima |Lima,Gris,4 en línea,tela,1498 cc
Toyota,Corolla,1.8 Premium,USD,"u$s5,200",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/corolla/pe/RT_PU_e5f09dda6ba84cd59ad164039d1a2d33.webp,2016,20000 km,gasolina,manual 6 velocidades,Huanta |Ayacucho,Blanco,4 en línea,tela,1798 cc
Toyota,Corolla,1.6 GLI,USD,"u$s3,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/corolla/pe/RT_PU_f10bdd00d0cb4cbb91b19950c41a9c12.webp,1992,200000 km,gasolina,manual 5 velocidades,Callao |Callao,Gris,4 en línea,gamuza,1600 cc
KIA,Sportage,2.0L Full Aut,USD,"u$s13,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/sportage/pe/RT_PU_c1765c49c0bf4bfda8671e636002a2d7.webp,2012,94400 km,gasolina,automática secuencial 4 velocidades,Lima |Lima,Negro,4 en línea,tela,2000 cc
Toyota,Rav4,2.0 4x2 Aut,USD,"u$s16,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/rav4/pe/RT_PU_9d69b329fdf14e0592bf6824af65e661.webp,2015,65000 km,gasolina,automática 6 velocidades,Lima |Lima,Rojo Metalizado,4 en línea,tela,1987 cc
Mazda,6 Sedán,2.5L Signature,USD,"u$s15,300",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mazda/6-sedan/pe/RT_PU_d380eded7514434c91c79cc9603def68.webp,2018,58000 km,gasolina,automática 6 velocidades,Lima |Lima,Azul,4 en línea,tela,2488 cc
Hyundai,Elantra,GLS 1.6L Aut,USD,"u$s12,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/elantra/pe/RT_PU_3009a58134fa4a3eba29047a15aad1eb.webp,2016,103000 km,gasolina,automática 4 velocidades,Lima |Lima,Negro,4 en línea,tela,1591 cc
